"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","88","6.GET /todos/{id} (404)","chromium","Sat May 17 22:11:47 GMT 2025","passed","Sat May 17 22:11:47 GMT 2025","API challenge","api.spec.js","",""
"","119","16. PUT /todos/{id} (400)","chromium","Sat May 17 22:11:48 GMT 2025","passed","Sat May 17 22:11:48 GMT 2025","API challenge","api.spec.js","",""
"","84","40. POST /todos JSON to XML","chromium","Sat May 17 22:11:51 GMT 2025","passed","Sat May 17 22:11:51 GMT 2025","API challenge","api.spec.js","",""
"","1769","Краш при смене количества отображаемых на странице товаров","chromium","Sat May 17 22:11:21 GMT 2025","passed","Sat May 17 22:11:23 GMT 2025","Поиск 5 багов на сайте академии багов","academybugs.spec.js","",""
"","114","4.GET /todo (404)","chromium","Sat May 17 22:11:47 GMT 2025","passed","Sat May 17 22:11:47 GMT 2025","API challenge","api.spec.js","",""
"","157","12.	POST /todos (400) description too long","chromium","Sat May 17 22:11:48 GMT 2025","passed","Sat May 17 22:11:48 GMT 2025","API challenge","api.spec.js","",""
"","25","39. POST /todos XML to JSON","chromium","Sat May 17 22:11:51 GMT 2025","passed","Sat May 17 22:11:51 GMT 2025","API challenge","api.spec.js","",""
"","89","32.POST /todos JSON","chromium","Sat May 17 22:11:50 GMT 2025","passed","Sat May 17 22:11:50 GMT 2025","API challenge","api.spec.js","",""
"","84","10.POST /todos (400) doneStatus","chromium","Sat May 17 22:11:47 GMT 2025","passed","Sat May 17 22:11:48 GMT 2025","API challenge","api.spec.js","",""
"","88","27.GET /todos (200) ANY","chromium","Sat May 17 22:11:49 GMT 2025","passed","Sat May 17 22:11:49 GMT 2025","API challenge","api.spec.js","",""
"","147","13.	POST /todos (201) max out content","chromium","Sat May 17 22:11:48 GMT 2025","passed","Sat May 17 22:11:48 GMT 2025","API challenge","api.spec.js","",""
"","120","14.	POST /todos (413) content too long","chromium","Sat May 17 22:11:48 GMT 2025","passed","Sat May 17 22:11:48 GMT 2025","API challenge","api.spec.js","",""
"","89","8.HEAD /todos (200)","chromium","Sat May 17 22:11:47 GMT 2025","passed","Sat May 17 22:11:47 GMT 2025","API challenge","api.spec.js","",""
"","5125","При переходе на производителя 404","chromium","Sat May 17 22:11:41 GMT 2025","passed","Sat May 17 22:11:46 GMT 2025","Поиск 5 багов на сайте академии багов","academybugs.spec.js","",""
"","256","7.GET /todos (200) ?filter","chromium","Sat May 17 22:11:47 GMT 2025","passed","Sat May 17 22:11:47 GMT 2025","API challenge","api.spec.js","",""
"","9131","Кнопка ""Домой"" не возвращает пользователя на главную","chromium","Sat May 17 22:11:32 GMT 2025","passed","Sat May 17 22:11:41 GMT 2025","Поиск 5 багов на сайте академии багов","academybugs.spec.js","",""
"","137","2.Получить список заданий get /challenges","chromium","Sat May 17 22:11:46 GMT 2025","passed","Sat May 17 22:11:46 GMT 2025","API challenge","api.spec.js","",""
"","91","28.GET /todos (200) XML pref","chromium","Sat May 17 22:11:49 GMT 2025","passed","Sat May 17 22:11:50 GMT 2025","API challenge","api.spec.js","",""
"","3019","Едет верстка фото товара","chromium","Sat May 17 22:11:27 GMT 2025","passed","Sat May 17 22:11:30 GMT 2025","Поиск 5 багов на сайте академии багов","academybugs.spec.js","",""
"","175","23. DELETE /todos/{id} (200)","chromium","Sat May 17 22:11:49 GMT 2025","passed","Sat May 17 22:11:49 GMT 2025","API challenge","api.spec.js","",""
"","88","20. PUT /todos/{id} partial (200)","chromium","Sat May 17 22:11:49 GMT 2025","passed","Sat May 17 22:11:49 GMT 2025","API challenge","api.spec.js","",""
"","98","22. PUT /todos/{id} no amend id (400)","chromium","Sat May 17 22:11:49 GMT 2025","passed","Sat May 17 22:11:49 GMT 2025","API challenge","api.spec.js","",""
"","87","34.GET /challenger/guid (existing X-CHALLENGER)","chromium","Sat May 17 22:11:50 GMT 2025","passed","Sat May 17 22:11:50 GMT 2025","API challenge","api.spec.js","",""
"","88","25.GET /todos (200) XML","chromium","Sat May 17 22:11:49 GMT 2025","passed","Sat May 17 22:11:49 GMT 2025","API challenge","api.spec.js","",""
"","85","24. OPTIONS /todos (200)","chromium","Sat May 17 22:11:49 GMT 2025","passed","Sat May 17 22:11:49 GMT 2025","API challenge","api.spec.js","",""
"","86","29.GET /todos (200) no accept","chromium","Sat May 17 22:11:50 GMT 2025","passed","Sat May 17 22:11:50 GMT 2025","API challenge","api.spec.js","",""
"","85","17. POST /todos/{id} (200)","chromium","Sat May 17 22:11:48 GMT 2025","passed","Sat May 17 22:11:48 GMT 2025","API challenge","api.spec.js","",""
"","86","37.	GET /challenger/database/guid (200)","chromium","Sat May 17 22:11:51 GMT 2025","passed","Sat May 17 22:11:51 GMT 2025","API challenge","api.spec.js","",""
"","172","36.PUT /challenger/guid CREATE","chromium","Sat May 17 22:11:50 GMT 2025","passed","Sat May 17 22:11:51 GMT 2025","API challenge","api.spec.js","",""
"","114","3.GET /todos (200)","chromium","Sat May 17 22:11:47 GMT 2025","passed","Sat May 17 22:11:47 GMT 2025","API challenge","api.spec.js","",""
"","260","35.PUT /challenger/guid RESTORE","chromium","Sat May 17 22:11:50 GMT 2025","passed","Sat May 17 22:11:50 GMT 2025","API challenge","api.spec.js","",""
"","114","5.GET /todos/{id} (200)","chromium","Sat May 17 22:11:47 GMT 2025","passed","Sat May 17 22:11:47 GMT 2025","API challenge","api.spec.js","",""
"","125","15.	POST /todos (400) extra","chromium","Sat May 17 22:11:48 GMT 2025","passed","Sat May 17 22:11:48 GMT 2025","API challenge","api.spec.js","",""
"","88","30.GET /todos (406)","chromium","Sat May 17 22:11:50 GMT 2025","passed","Sat May 17 22:11:50 GMT 2025","API challenge","api.spec.js","",""
"","88","18. POST /todos/{id} (404)","chromium","Sat May 17 22:11:48 GMT 2025","passed","Sat May 17 22:11:49 GMT 2025","API challenge","api.spec.js","",""
"","89","26.GET /todos (200) JSON","chromium","Sat May 17 22:11:49 GMT 2025","passed","Sat May 17 22:11:49 GMT 2025","API challenge","api.spec.js","",""
"","1787","Краш при смене типа валюты","chromium","Sat May 17 22:11:30 GMT 2025","passed","Sat May 17 22:11:32 GMT 2025","Поиск 5 багов на сайте академии багов","academybugs.spec.js","",""
"","130","31.POST /todos XML","chromium","Sat May 17 22:11:50 GMT 2025","passed","Sat May 17 22:11:50 GMT 2025","API challenge","api.spec.js","",""
"","90","19. PUT /todos/{id} full (200)","chromium","Sat May 17 22:11:49 GMT 2025","passed","Sat May 17 22:11:49 GMT 2025","API challenge","api.spec.js","",""
"","89","21. PUT /todos/{id} no title (400)","chromium","Sat May 17 22:11:49 GMT 2025","passed","Sat May 17 22:11:49 GMT 2025","API challenge","api.spec.js","",""
"","168","38. PUT /challenger/database/guid (Update)","chromium","Sat May 17 22:11:51 GMT 2025","passed","Sat May 17 22:11:51 GMT 2025","API challenge","api.spec.js","",""
"","87","33.POST /todos (415)","chromium","Sat May 17 22:11:50 GMT 2025","passed","Sat May 17 22:11:50 GMT 2025","API challenge","api.spec.js","",""
"","122","9.POST /todos (201)","chromium","Sat May 17 22:11:47 GMT 2025","passed","Sat May 17 22:11:47 GMT 2025","API challenge","api.spec.js","",""
"","87","11.	POST /todos (400) title too long","chromium","Sat May 17 22:11:48 GMT 2025","passed","Sat May 17 22:11:48 GMT 2025","API challenge","api.spec.js","",""
