"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","169","27.GET /todos (200) ANY","chromium","Sun May 18 05:59:40 GMT 2025","passed","Sun May 18 05:59:40 GMT 2025","API challenge","api.spec.js","",""
"","184","6.GET /todos/{id} (404)","chromium","Sun May 18 05:59:36 GMT 2025","passed","Sun May 18 05:59:36 GMT 2025","API challenge","api.spec.js","",""
"","330","23. DELETE /todos/{id} (200)","chromium","Sun May 18 05:59:39 GMT 2025","passed","Sun May 18 05:59:40 GMT 2025","API challenge","api.spec.js","",""
"","190","10.POST /todos (400) doneStatus","chromium","Sun May 18 05:59:37 GMT 2025","passed","Sun May 18 05:59:37 GMT 2025","API challenge","api.spec.js","",""
"","169","5.GET /todos/{id} (200)","chromium","Sun May 18 05:59:36 GMT 2025","passed","Sun May 18 05:59:36 GMT 2025","API challenge","api.spec.js","",""
"","1605","Краш при смене количества отображаемых на странице товаров","chromium","Sun May 18 05:59:12 GMT 2025","passed","Sun May 18 05:59:14 GMT 2025","Поиск 5 багов на сайте академии багов","academybugs.spec.js","",""
"","182","3.GET /todos (200)","chromium","Sun May 18 05:59:35 GMT 2025","passed","Sun May 18 05:59:36 GMT 2025","API challenge","api.spec.js","",""
"","167","26.GET /todos (200) JSON","chromium","Sun May 18 05:59:40 GMT 2025","passed","Sun May 18 05:59:40 GMT 2025","API challenge","api.spec.js","",""
"","2352","Краш при смене типа валюты","chromium","Sun May 18 05:59:17 GMT 2025","passed","Sun May 18 05:59:20 GMT 2025","Поиск 5 багов на сайте академии багов","academybugs.spec.js","",""
"","495","35.PUT /challenger/guid RESTORE","chromium","Sun May 18 05:59:41 GMT 2025","passed","Sun May 18 05:59:42 GMT 2025","API challenge","api.spec.js","",""
"","172","31.POST /todos XML","chromium","Sun May 18 05:59:41 GMT 2025","passed","Sun May 18 05:59:41 GMT 2025","API challenge","api.spec.js","",""
"","346","36.PUT /challenger/guid CREATE","chromium","Sun May 18 05:59:42 GMT 2025","passed","Sun May 18 05:59:42 GMT 2025","API challenge","api.spec.js","",""
"","170","17. POST /todos/{id} (200)","chromium","Sun May 18 05:59:38 GMT 2025","passed","Sun May 18 05:59:38 GMT 2025","API challenge","api.spec.js","",""
"","333","38. PUT /challenger/database/guid (Update)","chromium","Sun May 18 05:59:42 GMT 2025","passed","Sun May 18 05:59:43 GMT 2025","API challenge","api.spec.js","",""
"","3259","Едет верстка фото товара","chromium","Sun May 18 05:59:14 GMT 2025","passed","Sun May 18 05:59:17 GMT 2025","Поиск 5 багов на сайте академии багов","academybugs.spec.js","",""
"","183","8.HEAD /todos (200)","chromium","Sun May 18 05:59:37 GMT 2025","passed","Sun May 18 05:59:37 GMT 2025","API challenge","api.spec.js","",""
"","170","11.	POST /todos (400) title too long","chromium","Sun May 18 05:59:37 GMT 2025","passed","Sun May 18 05:59:37 GMT 2025","API challenge","api.spec.js","",""
"","166","37.	GET /challenger/database/guid (200)","chromium","Sun May 18 05:59:42 GMT 2025","passed","Sun May 18 05:59:42 GMT 2025","API challenge","api.spec.js","",""
"","221","2.Получить список заданий get /challenges","chromium","Sun May 18 05:59:35 GMT 2025","passed","Sun May 18 05:59:35 GMT 2025","API challenge","api.spec.js","",""
"","163","18. POST /todos/{id} (404)","chromium","Sun May 18 05:59:38 GMT 2025","passed","Sun May 18 05:59:39 GMT 2025","API challenge","api.spec.js","",""
"","165","25.GET /todos (200) XML","chromium","Sun May 18 05:59:40 GMT 2025","passed","Sun May 18 05:59:40 GMT 2025","API challenge","api.spec.js","",""
"","167","28.GET /todos (200) XML pref","chromium","Sun May 18 05:59:40 GMT 2025","passed","Sun May 18 05:59:40 GMT 2025","API challenge","api.spec.js","",""
"","172","20. PUT /todos/{id} partial (200)","chromium","Sun May 18 05:59:39 GMT 2025","passed","Sun May 18 05:59:39 GMT 2025","API challenge","api.spec.js","",""
"","165","32.POST /todos JSON","chromium","Sun May 18 05:59:41 GMT 2025","passed","Sun May 18 05:59:41 GMT 2025","API challenge","api.spec.js","",""
"","167","30.GET /todos (406)","chromium","Sun May 18 05:59:41 GMT 2025","passed","Sun May 18 05:59:41 GMT 2025","API challenge","api.spec.js","",""
"","189","14.	POST /todos (413) content too long","chromium","Sun May 18 05:59:38 GMT 2025","passed","Sun May 18 05:59:38 GMT 2025","API challenge","api.spec.js","",""
"","166","33.POST /todos (415)","chromium","Sun May 18 05:59:41 GMT 2025","passed","Sun May 18 05:59:41 GMT 2025","API challenge","api.spec.js","",""
"","170","12.	POST /todos (400) description too long","chromium","Sun May 18 05:59:37 GMT 2025","passed","Sun May 18 05:59:38 GMT 2025","API challenge","api.spec.js","",""
"","164","40. POST /todos JSON to XML","chromium","Sun May 18 05:59:43 GMT 2025","passed","Sun May 18 05:59:43 GMT 2025","API challenge","api.spec.js","",""
"","165","16. PUT /todos/{id} (400)","chromium","Sun May 18 05:59:38 GMT 2025","passed","Sun May 18 05:59:38 GMT 2025","API challenge","api.spec.js","",""
"","167","34.GET /challenger/guid (existing X-CHALLENGER)","chromium","Sun May 18 05:59:41 GMT 2025","passed","Sun May 18 05:59:41 GMT 2025","API challenge","api.spec.js","",""
"","163","24. OPTIONS /todos (200)","chromium","Sun May 18 05:59:40 GMT 2025","passed","Sun May 18 05:59:40 GMT 2025","API challenge","api.spec.js","",""
"","170","21. PUT /todos/{id} no title (400)","chromium","Sun May 18 05:59:39 GMT 2025","passed","Sun May 18 05:59:39 GMT 2025","API challenge","api.spec.js","",""
"","170","19. PUT /todos/{id} full (200)","chromium","Sun May 18 05:59:39 GMT 2025","passed","Sun May 18 05:59:39 GMT 2025","API challenge","api.spec.js","",""
"","171","15.	POST /todos (400) extra","chromium","Sun May 18 05:59:38 GMT 2025","passed","Sun May 18 05:59:38 GMT 2025","API challenge","api.spec.js","",""
"","169","22. PUT /todos/{id} no amend id (400)","chromium","Sun May 18 05:59:39 GMT 2025","passed","Sun May 18 05:59:39 GMT 2025","API challenge","api.spec.js","",""
"","177","9.POST /todos (201)","chromium","Sun May 18 05:59:37 GMT 2025","passed","Sun May 18 05:59:37 GMT 2025","API challenge","api.spec.js","",""
"","167","13.	POST /todos (201) max out content","chromium","Sun May 18 05:59:38 GMT 2025","passed","Sun May 18 05:59:38 GMT 2025","API challenge","api.spec.js","",""
"","162","29.GET /todos (200) no accept","chromium","Sun May 18 05:59:40 GMT 2025","passed","Sun May 18 05:59:41 GMT 2025","API challenge","api.spec.js","",""
"","511","7.GET /todos (200) ?filter","chromium","Sun May 18 05:59:36 GMT 2025","passed","Sun May 18 05:59:37 GMT 2025","API challenge","api.spec.js","",""
"","9721","Кнопка ""Домой"" не возвращает пользователя на главную","chromium","Sun May 18 05:59:20 GMT 2025","passed","Sun May 18 05:59:29 GMT 2025","Поиск 5 багов на сайте академии багов","academybugs.spec.js","",""
"","183","4.GET /todo (404)","chromium","Sun May 18 05:59:36 GMT 2025","passed","Sun May 18 05:59:36 GMT 2025","API challenge","api.spec.js","",""
"","50","39. POST /todos XML to JSON","chromium","Sun May 18 05:59:43 GMT 2025","passed","Sun May 18 05:59:43 GMT 2025","API challenge","api.spec.js","",""
"","5478","При переходе на производителя 404","chromium","Sun May 18 05:59:29 GMT 2025","passed","Sun May 18 05:59:35 GMT 2025","Поиск 5 багов на сайте академии багов","academybugs.spec.js","",""
